location_id,quantity,occurrences,latitude,longitude
14181,49.0,3,44.462737,8.899153
3719,23.491071428571427,112,45.57875,9.232948
13540,20.75609756097561,41,45.491751,9.553829
7162,17.606060606060606,33,45.409836,9.123092
3661,15.00909090909091,110,45.486698,9.202986
6808,14.166666666666666,12,43.828298,13.041095
7010,12.144144144144144,111,45.466904,9.227354
13742,12.04,25,45.610096,9.27834
3291,12.036036036036036,111,45.543636,9.00585
5367,10.9,110,45.78311,9.04863
3560,8.508928571428571,112,45.484693,9.202741
3472,8.35135135135135,111,45.55863,8.9489
13972,8.0,12,45.570119,12.34512
14136,6.8,5,45.642712,9.149303
4710,6.303571428571429,112,45.69347,8.60975
4551,6.116071428571429,112,45.69187,9.56758
5070,5.981981981981982,111,45.30594,9.49314
3583,5.954954954954955,111,45.48695,9.20189
14084,5.857142857142857,7,45.464098,9.191927
3934,5.714285714285714,112,45.46106,9.11876
3880,5.545454545454546,110,45.80248,8.85364
9554,5.517241379310345,87,45.662763,9.632677
4466,5.357142857142857,112,45.39537,9.26262
14186,5.333333333333333,3,45.689952,9.672276
3382,5.333333333333333,108,45.62337,9.02732
4101,5.267857142857143,112,45.464098,9.191926
5185,5.267857142857143,112,45.52809,9.26828
7231,5.1909090909090905,110,45.4746,9.232221
3514,5.142857142857143,112,45.47793,9.20937
6479,5.107142857142857,112,45.457691,9.231332
4935,5.081081081081081,111,45.474454,8.992998
6527,5.009009009009009,111,45.509242,9.099846
3300,4.946428571428571,112,45.510406,9.086656
6516,4.882882882882883,111,45.485651,9.00109
3796,4.863636363636363,110,45.47686,9.19671
3357,4.862385321100917,109,45.57915,9.13009
5375,4.7657657657657655,111,45.805378,9.085779
5163,4.723214285714286,112,45.506106,9.267751
3074,4.36036036036036,111,45.65485,9.74678
4092,4.351351351351352,111,45.487242,9.223874
12994,4.288135593220339,59,45.93285,8.803774
6510,4.232142857142857,112,45.152903,9.123801
7498,4.128440366972477,109,45.548912,8.466599
8250,4.122448979591836,98,45.457208,9.122127
4196,4.105769230769231,104,45.462007,9.256452
5158,4.089285714285714,112,45.55695,9.3014
7219,4.045045045045045,111,45.890795,8.519328
7250,3.891891891891892,111,45.485822,9.167141
4602,3.864864864864865,111,45.66166,9.699931
13613,3.8529411764705883,34,45.645736,8.72343
3236,3.8454545454545452,110,45.49519,9.41411
5154,3.7857142857142856,112,45.5643,9.28014
2999,3.770642201834862,109,45.771695,9.81264
3476,3.765765765765766,111,45.6019,8.74724
5413,3.7636363636363637,110,45.76538,9.0076
4366,3.7567567567567566,111,45.44025,9.22386
3736,3.6875,112,45.622475,9.176893
7530,3.679611650485437,103,46.162219,9.788046
5635,3.669642857142857,112,45.77082,9.28904
3056,3.6036036036036037,111,45.6857,9.7723
4632,3.590909090909091,110,45.69825,9.60288
5673,3.5765765765765765,111,45.56344,9.3266
4913,3.5636363636363635,110,45.468116,8.881263
5378,3.5585585585585586,111,45.80202,9.09013
5649,3.5357142857142856,112,45.57254,9.33664
4115,3.5,112,45.478243,9.14714
4107,3.4864864864864864,111,45.480182,9.222877
4813,3.482142857142857,112,45.204742,9.172954
4026,3.4814814814814814,108,45.514857,9.116334
5407,3.4454545454545453,110,46.16301,9.812
3326,3.4414414414414414,111,45.578588,9.09636
13652,3.40625,32,45.432212,9.28867
3611,3.381818181818182,110,45.48883,9.20297
4049,3.342857142857143,105,45.47398,9.19603
4054,3.3394495412844036,109,45.4988,9.1661
4766,3.311926605504587,109,45.71315,8.28344
7599,3.2941176470588234,102,45.625366,8.711663
7351,3.2882882882882885,111,45.932823,8.803743
3989,3.2844036697247705,109,45.48173,9.18096
5717,3.2752293577981653,109,45.769445,9.288155
4195,3.27027027027027,111,45.459969,9.314689
4699,3.2589285714285716,112,45.44671,8.59988
7511,3.2476190476190476,105,45.470709,9.229937
4426,3.2363636363636363,110,45.35507,9.5754
3586,3.232142857142857,112,45.48467,9.20753
3571,3.2142857142857144,112,45.673092,9.085429
4548,3.205357142857143,112,45.69826,9.57662
5352,3.1944444444444446,108,45.75694,9.11731
9686,3.182926829268293,82,45.912699,9.316806
6583,3.171171171171171,111,45.315201,8.880099
5521,3.15625,32,45.42387,9.16511
3148,3.1339285714285716,112,45.50059,9.4225
3957,3.0833333333333335,108,45.48474,9.15968
3841,3.0825688073394497,109,45.82292,8.95945
4345,3.0714285714285716,112,45.45738,9.1936
4789,3.0714285714285716,112,45.30617,9.01034
4713,3.0625,112,45.43226,8.73552
7360,3.0425531914893615,94,45.792804,11.949506
13779,3.0416666666666665,24,45.495101,9.143358
5010,3.0267857142857144,112,45.10792,9.44264
3588,3.018018018018018,111,45.4852,9.20687
4408,3.0096153846153846,104,45.43728,9.21046
3497,2.9166666666666665,108,45.63511,8.86475
5645,2.9107142857142856,112,45.57464,9.343868
3768,2.90990990990991,111,45.65017,9.20774
4942,2.873873873873874,111,45.382273,9.154954
3037,2.8660714285714284,112,45.51697,9.87242
14086,2.857142857142857,7,45.573768,9.35225
7049,2.828828828828829,111,45.321735,9.48608
3171,2.810810810810811,111,45.52025,9.59576
5639,2.794642857142857,112,45.733692,9.249769
4116,2.767857142857143,112,45.48129,9.14417
5368,2.765765765765766,111,45.81192,9.06994
14160,2.75,4,45.448172,9.1582
3061,2.7477477477477477,111,45.528287,9.752286
4718,2.7247706422018347,109,45.44608,8.6194
9348,2.688888888888889,90,45.542794,9.172533
5650,2.672727272727273,110,45.734703,9.249018
4206,2.669642857142857,112,45.525206,9.228261
5394,2.6634615384615383,104,45.81277,9.08163
4902,2.6517857142857144,112,45.37487,9.2114
3086,2.6363636363636362,110,45.66501,9.6951
3837,2.630630630630631,111,45.70928,8.90119
5192,2.6126126126126126,111,45.58518,9.28337
4354,2.6126126126126126,111,45.42327,9.26587
6537,2.607142857142857,112,45.504382,9.107078
7332,2.5925925925925926,108,45.921342,8.550272
13982,2.5833333333333335,12,45.4766,9.182089
4541,2.580357142857143,112,45.66309,9.63221
3187,2.5675675675675675,111,45.54282,9.44814
7211,2.5545454545454547,110,45.518756,9.135663
6608,2.5315315315315314,111,45.231681,9.406518
13561,2.525,40,45.367015,9.687029
5663,2.517857142857143,112,45.84827,9.39312
7439,2.5135135135135136,111,45.535654,9.0178
3095,2.5,110,45.545478,9.824024
6484,2.4954954954954953,111,45.577834,9.297163
3720,2.482142857142857,112,45.69224,9.10285
3348,2.482142857142857,112,45.5065,9.10407
3093,2.481818181818182,110,45.66501,9.6951
4193,2.4774774774774775,111,45.42524,9.29816
4792,2.4727272727272727,110,45.18672,9.14924
3664,2.4722222222222223,108,45.48785,9.20276
3828,2.4414414414414414,111,45.85897,8.86186
4138,2.4363636363636365,110,45.48384,9.23642
3220,2.4324324324324325,111,45.597747,9.432994
14064,2.4285714285714284,7,45.470796,9.230782
4661,2.4220183486238533,109,45.68466,9.45757
13915,2.411764705882353,17,45.770836,9.061843
3929,2.388888888888889,108,45.438207,9.200048
4499,2.388888888888889,108,45.35494,9.65397
4832,2.369369369369369,111,44.99703,9.03728
3447,2.357142857142857,112,45.62279,8.84815
13830,2.35,20,45.556649,9.302423
7230,2.3482142857142856,112,45.479224,9.191858
3062,2.3423423423423424,111,45.52123,9.75586
4157,2.3333333333333335,3,45.47104,9.24208
3489,2.3333333333333335,111,45.513696,8.851468
3921,2.324324324324324,111,45.45121,9.24164
6525,2.3214285714285716,112,45.776758,9.176724
